date,department,expense,value,provider,cnpj,sequential_id
2017-01-01,GABINETE DE VEREADOR,COMBUSTIVEL,880.0,PROTOTIPO AUTO POSTO LTDA.,43.900.851/0001-01,250000011625.0
2017-01-01,GABINETE DE VEREADOR,COMBUSTIVEL,880.0,PROTOTIPO AUTO POSTO LTDA.,43.900.851/0001-01,250000022073.0
2017-01-01,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,5993.27,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000011625.0
2017-01-01,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,5993.27,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000022073.0
2017-01-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,219.45,CENTER PAPEIS COMERCIAL LTDA.,06.226.820/0001-82,250000011625.0
2017-01-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,219.45,CENTER PAPEIS COMERCIAL LTDA.,06.226.820/0001-82,250000022073.0
2017-01-01,GABINETE DE VEREADOR,TELEFONE MOVEL,266.1,TELEFONICA BRASIL S/A,02.558.157/0001-62,250000011625.0
2017-01-01,GABINETE DE VEREADOR,TELEFONE MOVEL,266.1,TELEFONICA BRASIL S/A,02.558.157/0001-62,250000022073.0
2017-02-01,GABINETE DE VEREADOR,COMBUSTIVEL,150.0,POSTO DE SERVIÇOS 23 DE MAIO LTDA.,18.811.994/0001-91,250000011625.0
2017-02-01,GABINETE DE VEREADOR,COMBUSTIVEL,150.0,POSTO DE SERVIÇOS 23 DE MAIO LTDA.,18.811.994/0001-91,250000022073.0
2017-02-01,GABINETE DE VEREADOR,COMBUSTIVEL,600.0,PROTOTIPO AUTO POSTO LTDA.,43.900.851/0001-01,250000011625.0
2017-02-01,GABINETE DE VEREADOR,COMBUSTIVEL,600.0,PROTOTIPO AUTO POSTO LTDA.,43.900.851/0001-01,250000022073.0
2017-02-01,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,6053.87,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000011625.0
2017-02-01,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,6053.87,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000022073.0
2017-02-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,1099.0,IRISARA COMÉRCIO E SERVIÇOS LTDA.,10.376.277/0001-77,250000011625.0
2017-02-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,1099.0,IRISARA COMÉRCIO E SERVIÇOS LTDA.,10.376.277/0001-77,250000022073.0
2017-02-01,GABINETE DE VEREADOR,TELEFONE MOVEL,197.35,TELEFONICA BRASIL S/A,02.558.157/0001-62,250000011625.0
