date,department,expense,value,provider,cnpj,sequential_id
2017-01-01,GABINETE DE VEREADOR,COMBUSTIVEL,880.0,PROTOTIPO AUTO POSTO LTDA.,43.900.851/0001-01,250000011625
2017-01-01,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,5993.27,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000011625
2017-01-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,219.45,CENTER PAPEIS COMERCIAL LTDA.,06.226.820/0001-82,250000011625
2017-01-01,GABINETE DE VEREADOR,TELEFONE MOVEL,266.1,TELEFONICA BRASIL S/A,02.558.157/0001-62,250000011625
2017-02-01,GABINETE DE VEREADOR,COMBUSTIVEL,150.0,POSTO DE SERVIÇOS 23 DE MAIO LTDA.,18.811.994/0001-91,250000011625
2017-02-01,GABINETE DE VEREADOR,COMBUSTIVEL,600.0,PROTOTIPO AUTO POSTO LTDA.,43.900.851/0001-01,250000011625
2017-02-01,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,6053.87,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000011625
2017-02-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,1099.0,IRISARA COMÉRCIO E SERVIÇOS LTDA.,10.376.277/0001-77,250000011625
2017-02-01,GABINETE DE VEREADOR,TELEFONE MOVEL,197.35,TELEFONICA BRASIL S/A,02.558.157/0001-62,250000011625
2017-03-01,GABINETE DE VEREADOR,COMBUSTIVEL,420.0,POSTO DE SERVIÇOS 23 DE MAIO LTDA.,18.811.994/0001-91,250000011625
2017-03-01,GABINETE DE VEREADOR,COMBUSTIVEL,600.27,PROTOTIPO AUTO POSTO LTDA.,43.900.851/0001-01,250000011625
2017-03-01,GABINETE DE VEREADOR,COMBUSTIVEL,300.0,AUTO POSTO PIRAI LTDA.,61.990.693/0001-00,250000011625
2017-03-01,GABINETE DE VEREADOR,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,980.0,ARTE LU E RO GRAFICA EIRELI,18.588.528/0001-99,250000011625
2017-03-01,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,6812.95,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000011625
2017-03-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,253.35,CENTER PAPEIS COMERCIAL LTDA.,06.226.820/0001-82,250000011625
2017-03-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,560.0,K2G SUPRIMENTOS DE IMPRESSÃO E INFORMATICA EIRELLI - ME,19.367.661/0001-88,250000011625
2017-03-01,GABINETE DE VEREADOR,TELEFONE MOVEL,195.39,TELEFONICA BRASIL S/A,02.558.157/0001-62,250000011625
2017-04-01,GABINETE DE VEREADOR,COMBUSTIVEL,950.0,POSTO DE SERVIÇOS 23 DE MAIO LTDA.,18.811.994/0001-91,250000011625
2017-04-01,GABINETE DE VEREADOR,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,5072.0,ARTE LU E RO GRAFICA EIRELI,18.588.528/0001-99,250000011625
2017-04-01,GABINETE DE VEREADOR,INTERMEDIADO - CORREIOS,6483.32,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,250000011625
2017-04-01,GABINETE DE VEREADOR,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,7580.0,ITALIVROS - LIVRARIA E PAPELARIA LTDA.,67.933.200/0001-78,250000011625
2017-04-01,GABINETE DE VEREADOR,TELEFONE MOVEL,196.35,TELEFONICA BRASIL S/A,02.558.157/0001-62,250000011625
2017-05-01,GABINETE DE VEREADOR,COMBUSTIVEL,1050.0,POSTO DE SERVIÇOS 23 DE MAIO LTDA.,18.811.994/0001-91,250000011625
2017-05-01,GABINETE DE VEREADOR,COMBUSTIVEL,155.51,AUTO POSTO PIRAI LTDA.,61.990.693/0001-00,250000011625
